problem,seed,reduction_factor,redundancy_rate,max_internal_nodes_seen_isalsr,total_dags_explored_isalsr,unique_canonical_dags,r2_train_baseline,r2_train_isalsr,r2_test_baseline,r2_test_isalsr,nrmse_train_baseline,nrmse_train_isalsr,nrmse_test_baseline,nrmse_test_isalsr,delta_r2_train,delta_r2_test,delta_nrmse_train,delta_nrmse_test,model_complexity_baseline,model_complexity_isalsr,wall_clock_search_only_s_baseline,wall_clock_search_only_s_isalsr,overhead_time_s,canonicalization_runtime_s,solution_recovered_baseline,solution_recovered_isalsr
i.15.10,22,1.8156870572634025,0.44924429790935627,31.0,10852160.0,5976889.0,0.9999999682482942,0.9999999999714009,0.9999999531369078,0.9999999999721979,0.00017819008348476728,5.347819153156371e-06,0.00021647884934777496,5.272772386326676e-06,3.172310669707912e-08,4.6835290090641024e-08,-0.00017284226433161092,-0.00021120607696144828,32.0,32.0,13156.724845655262,28291.08269558847,11951.113796625286,11951.113796625286,False,False
i.15.10,23,1.8140677710923132,0.44875267840855504,31.0,11988929.0,6608865.0,0.9999999913156454,0.9999999987582879,0.9999999900011496,0.9999999988493484,9.318988443413927e-05,3.5237935004188435e-05,9.999425165317674e-05,3.3921255392407115e-05,7.442642502297758e-09,8.848198840283317e-09,-5.795194942995083e-05,-6.607299626076963e-05,32.0,32.0,12939.12929760199,29656.15639466839,12678.079124405514,12678.079124405514,False,False
i.15.10,24,1.8167604762523006,0.44956970769044513,30.0,11894240.0,6546950.0,0.9999990242170205,0.9999999308665547,0.9999989850041003,0.9999999317672148,0.0009878172804548137,0.00026293239681611725,0.0010074700490220155,0.00026121406003320373,9.066495342269221e-07,9.467631144621791e-07,-0.0007248848836386964,-0.0007462559889888118,32.0,31.0,12708.297740136739,29537.3585290825,12795.667975893244,12795.667975893244,False,False
i.15.10,25,1.8170253071645528,0.4496499327461275,29.0,11523500.0,6341959.0,0.9999999999999292,0.9999999999786161,0.9999999999999555,0.999999999984334,2.661046482142949e-07,4.6242688365739385e-06,2.110925936398127e-07,3.958029092282447e-06,-2.1313062426031593e-11,-1.5621504090290728e-11,4.3581641883596436e-06,3.746936498642634e-06,29.0,30.0,12241.129831091966,28806.93997576274,13525.259736022446,13525.259736022446,False,False
i.15.10,26,1.8162883697226269,0.44942663474043265,31.0,12395240.0,6824489.0,0.9999992182052488,0.9999999999604163,0.9999989262830051,0.9999999998441899,0.0008841915805975202,6.2915529104805875e-06,0.0010362031629369995,1.2482393264997595e-05,7.817551674893508e-07,1.0735611847279003e-06,-0.0008779000276870397,-0.0010237207696720018,32.0,32.0,13987.900734053925,22881.049625878222,12254.28405005671,12254.28405005671,False,False
i.15.10,27,1.816526925371452,0.44949893886350445,30.0,12505460.0,6884269.0,0.9999992034396957,0.9999999825076757,0.9999991709366257,0.9999999873725312,0.0008925022712773491,0.00013225855076691656,0.0009105291726737058,0.00011237201104475879,7.790679800168121e-07,8.164359054374515e-07,-0.0007602437205104325,-0.0007981571616289471,31.0,31.0,15794.457999639679,23119.305639153346,11948.634196581785,11948.634196581785,False,False
i.15.10,28,1.8154234298312415,0.4491643197020112,28.0,7044560.0,3880395.0,0.9999999999983386,1.0,0.9999999999644648,1.0,1.2889610970642113e-06,6.451963582590981e-10,5.96114240881437e-06,9.959244619383768e-10,1.6614487563515468e-12,3.553524141608477e-11,-1.2883159007059523e-06,-5.960146484352431e-06,31.0,29.0,13131.21810513502,13217.711708104238,7289.10857440345,7289.10857440345,False,False
i.15.10,29,1.8158710881428624,0.4493001146778952,30.0,11423300.0,6290810.0,0.9999999999166125,0.9999999753237057,0.9999999999278423,0.9999999839620456,9.13167842466186e-06,0.00015708690043740147,8.494567362677473e-06,0.00012664104554946807,-2.4592906822107352e-08,-1.5965796684724864e-08,0.00014795522201273962,0.0001181464781867906,32.0,31.0,13348.584028948098,21476.71389878262,11436.204656822607,11436.204656822607,False,False
i.15.10,30,1.8223445990051974,0.4512563647150536,30.0,10736930.0,5891822.0,0.9999999961082424,0.9999999998840258,0.9999999976722586,0.9999999999010174,6.238395270276992e-05,1.0769134298436078e-05,4.824667287669851e-05,9.948997233160976e-06,3.775783352644169e-09,2.228758844147194e-09,-5.161481840433384e-05,-3.829767564353753e-05,32.0,31.0,12869.131180968601,21221.873154394794,11199.664277215954,11199.664277215954,False,False
i.30.3,1,1.8095943148947127,0.4473899526711418,31.0,1293080.0,714569.0,0.9997574523150404,1.0,0.9996958273795435,1.0,0.015573942498915262,6.079875634682603e-11,0.017440545302726644,6.41191014100943e-11,0.0002425476849595709,0.00030417262045645543,-0.015573942438116505,-0.01744054523860754,31.0,32.0,20258.397269635927,1824.0465908558108,1198.4913612585515,1198.4913612585515,False,False
i.30.3,2,1.8213138512778388,0.4509458107407478,25.0,5767010.0,3166401.0,1.0,1.0,1.0,1.0,9.447168089199506e-10,3.1829686178118727e-16,9.931908825338717e-10,3.1431241954218835e-16,0.0,0.0,-9.447164906230888e-10,-9.93190568221452e-10,31.0,26.0,8238.21811245894,8836.486313836649,5691.593061218504,5691.593061218504,False,False
i.30.3,3,1.817301327050997,0.4497335223857799,31.0,3011510.0,1657133.0,1.0,1.0,1.0,1.0,5.267992140098574e-14,1.232875091991173e-12,5.3772060621009804e-14,1.151374108610662e-12,0.0,0.0,1.1801951705901873e-12,1.097602047989652e-12,31.0,32.0,8279.326233713888,4189.170641022734,2918.853529116139,2918.853529116139,False,False
i.30.3,4,1.8263432288949049,0.4524577942531174,25.0,12635720.0,6918590.0,0.9999999999999999,1.0,0.9999999999999999,1.0,8.652824536106394e-09,2.562372711476044e-16,9.261753487598195e-09,2.2101133617065045e-16,1.1102230246251565e-16,1.1102230246251565e-16,-8.652824279869122e-09,-9.26175326658686e-09,25.0,26.0,10803.516969851684,23825.50427642977,13678.059776974376,13678.059776974376,False,False
i.30.3,5,1.819401627629543,0.4503687449687086,14.0,5391260.0,2963205.0,1.0,1.0,1.0,1.0,3.3454454396174567e-13,1.675758898889877e-11,3.185272107534022e-13,1.6487681686438382e-11,0.0,0.0,1.6423044444937026e-11,1.616915447568498e-11,23.0,15.0,13823.665525249206,7729.031155793462,5132.543016794603,5132.543016794603,False,False
i.30.3,6,1.8109013904346556,0.4477888165075745,26.0,1438370.0,794284.0,1.0,1.0,1.0,1.0,1.2468012217909468e-11,2.243314424939469e-16,1.1337574310198292e-11,3.210774848395061e-16,0.0,0.0,-1.2467787886466974e-11,-1.1337253232713453e-11,30.0,27.0,5597.661892083939,1699.9787154886872,1380.1892304760404,1380.1892304760404,False,False
i.30.3,7,1.8194843880456448,0.450393745299389,17.0,4068620.0,2236139.0,1.0,1.0,1.0,1.0,5.0670159266938505e-09,2.528191400721059e-16,5.275260779161444e-09,2.603938924935946e-16,0.0,0.0,-5.0670156738747105e-09,-5.2752605187675514e-09,32.0,18.0,9886.228715174831,6299.7497348957695,4066.7357743163593,4066.7357743163593,False,False
i.30.3,8,1.8229028919166086,0.4514244261532794,26.0,6623720.0,3633611.0,1.0,1.0,1.0,1.0,4.053893418863929e-11,2.299170449797727e-11,3.764259639136615e-11,2.2394532993685015e-11,0.0,0.0,-1.754722969066202e-11,-1.5248063397681137e-11,30.0,27.0,4758.210519419983,11405.527672121767,6855.101316877175,6855.101316877175,False,False
